singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
Kuwy32OdUR,20.0,8.0,0.0,0.0,0.0,2,1VhOqKlkeO,Dumbbell Row,9ec3nQPQwr,2017-11-06,fake_id_409
2jNVuCDzjN,6.8038936415345965,8.0,0.0,0.0,0.0,3,919xYYg2Hz,Dumbbell Row,iJAleIqdRC,2018-07-13,fake_id_418
orZc7Dsryy,18.14371637742559,10.0,0.0,0.0,0.0,2,MXGHlAK1nw,Skullcrusher,YQHqc6bMsa,2018-12-21,fake_id_425
WXpIV1EDO9,20.0,15.0,,,,4,wkZekNhhfH,Lying Hamstrings Curl,pd07SJDT9I,2017-01-08,fake_id_409
Wdzc52WpE9,35.0,8.0,0.0,0.0,0.0,1,xDpcV4FDSA,Lying Hamstrings Curl,CcYXjOeyCy,2018-05-08,fake_id_412
1JG9DD7Xf2,11.339822735890994,10.0,0.0,0.0,0.0,3,rjE1TGX3Da,Back Extensions,XoB8oYW1SX,2019-08-26,fake_id_419
nPSV4Vj4r9,0.0,12.0,0.0,0.0,0.0,1,NpvKqR3HhD,Back Extensions,C2GQRGnx5Z,2019-01-16,fake_id_413
fLFqQnUtTz,125.0,6.0,,,,2,C2c9HA2pHf,Romanian Deadlift,QQGmDyDENF,2017-02-06,fake_id_410
SHRbEgFeEF,90.0,14.0,0.0,0.0,0.0,5,wuMQL8i4no,Romanian Deadlift,z9KVdY5aF1,2018-07-12,fake_id_412
60cy9BisUU,29.483539113316585,15.0,0.0,0.0,0.0,2,aR2OrOx2MV,Romanian Deadlift,bcKQ8di9Z1,2018-05-08,fake_id_409
RXgz02Fnk4,13.607787283069193,10.0,0.0,0.0,0.0,10,yi02nf455D,EZ-Bar Curl,5xyB3AtFCQ,2019-07-25,fake_id_414
EtPR8kOPs7,45.0,7.0,0.0,0.0,0.0,3,zZMmEdKP3q,EZ-Bar Curl,B0UBpVwpVj,2018-09-23,fake_id_412
iEFpIPOrTi,45.0,7.0,0.0,0.0,0.0,3,37uTMbXVbg,EZ-Bar Curl,HTBZcdhRlN,2018-10-27,fake_id_412
CEglScNvxl,22.67964547178199,15.0,0.0,0.0,0.0,4,CPpSiIBW0m,EZ-Bar Curl,2eOMGK8Cgb,2019-07-22,fake_id_414
abdZJBXRmB,40.0,10.0,0.0,0.0,0.0,5,pFjbBJ3UOt,EZ-Bar Curl,OY7KcTf5Pv,2018-06-29,fake_id_412
gIpTirVwfD,43.091326396385774,8.0,0.0,0.0,0.0,2,eHTfXk77pk,EZ-Bar Curl,aGjLwhIBev,2018-10-18,fake_id_417
FX0jgxu7ab,43.091326396385774,6.0,0.0,0.0,0.0,3,ovBuSAAKg0,EZ-Bar Curl,QyBysmcXuL,2018-10-29,fake_id_417
vSccpEm2Te,2.2679645471781993,15.0,0.0,0.0,0.0,3,49J2cqVXA3,Dumbbell Kickbacks,SYe1eFRYVa,2019-01-27,fake_id_416
